employerName,jobUrl,employerProfileId,applications,employerId,jobId,employerProfileName,jobTitle,maximumSalary,expirationDate,date,minimumSalary,currency,jobDescription,locationName
Reed,https://www.reed.co.uk/jobs/data-analyst/54629811,,95,575264,54629811,,Data Analyst,45000.0,26/03/2025,12/03/2025,40000.0,GBP,"Senior Data Analyst Location: &nbsp;Banbridge, Co Down Hours: &nbsp;Full-time Salary: &nbsp;Competitive, dependent on experience REED Technology are delighted to represent an excellent organisation who due to continued growth and expansion are seeking to add a Senior Data Analyst to their team. They are seeking a highly skilled and experienced Senior Data Analyst to lead the new data analytics team at their headquarters. This pivotal role involv... ",BT27BA
ITOL Recruitment,https://www.reed.co.uk/jobs/trainee-data-analyst/54648107,,61,582327,54648107,,Trainee Data Analyst ,50000.0,25/04/2025,14/03/2025,30000.0,GBP,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for e... ",United Kingdom
ITOL Recruitment,https://www.reed.co.uk/jobs/data-analyst-trainee/54641255,,1,582327,54641255,,Data Analyst Trainee,50000.0,24/04/2025,13/03/2025,30000.0,GBP,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for e... ",BT15GS
ITOL Recruitment,https://www.reed.co.uk/jobs/data-analyst-trainee/54634596,,1,582327,54634596,,Data Analyst Trainee,50000.0,23/04/2025,12/03/2025,30000.0,GBP,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for e... ",BT15GS
ITOL Recruitment,https://www.reed.co.uk/jobs/data-analyst-trainee/54635416,,2,582327,54635416,,Data Analyst Trainee,50000.0,23/04/2025,12/03/2025,30000.0,GBP,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for e... ",BT15GS
Newto Training,https://www.reed.co.uk/jobs/trainee-data-analyst/54616003,,29,659815,54616003,,Trainee Data Analyst,,21/04/2025,10/03/2025,,,"Are you ready to start a new career in Data Analysis? The demand for Data Analysts has grown by 20% annually, with experienced professionals earning salaries upwards of 58,000. In today’s digital world, data is critical to business decision-making, making the role of a Data Analyst indispensable. As skills shortages continue to grow, the demand for qualified entry-level professionals is on the rise. Your journey to a new career in Data Analysis ... ",United Kingdom
Newto Training,https://www.reed.co.uk/jobs/trainee-data-analyst/54615950,,21,659815,54615950,,Trainee Data Analyst,,21/04/2025,10/03/2025,,,"Are you ready to start a new career in Data Analysis? The demand for Data Analysts has grown by 20% annually, with experienced professionals earning salaries upwards of 58,000. In today’s digital world, data is critical to business decision-making, making the role of a Data Analyst indispensable. As skills shortages continue to grow, the demand for qualified entry-level professionals is on the rise. Your journey to a new career in Data Analysis ... ",United Kingdom
ITOL Recruitment,https://www.reed.co.uk/jobs/data-analyst-trainee/54647852,,28,582327,54647852,,Data Analyst Trainee,50000.0,25/04/2025,14/03/2025,30000.0,GBP,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for e... ",United Kingdom
Newto Training,https://www.reed.co.uk/jobs/data-analyst-trainee/54616023,,31,659815,54616023,,Data Analyst Trainee,,21/04/2025,10/03/2025,,,"Are you ready to start a new career in Data Analysis? The demand for Data Analysts has grown by 20% annually, with experienced professionals earning salaries upwards of 58,000. In today’s digital world, data is critical to business decision-making, making the role of a Data Analyst indispensable. As skills shortages continue to grow, the demand for qualified entry-level professionals is on the rise. Your journey to a new career in Data Analysis ... ",United Kingdom
ITOL Recruitment,https://www.reed.co.uk/jobs/trainee-data-analyst/54647921,,36,582327,54647921,,Trainee Data Analyst ,50000.0,25/04/2025,14/03/2025,30000.0,GBP,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for e... ",United Kingdom
ITOL Recruitment,https://www.reed.co.uk/jobs/trainee-data-analyst/54655288,,34,582327,54655288,,Trainee Data Analyst ,50000.0,28/04/2025,17/03/2025,30000.0,GBP,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for e... ",United Kingdom
IT Career Switch,https://www.reed.co.uk/jobs/junior-data-analyst/54492137,,323,598528,54492137,,Junior Data Analyst,45000.0,31/03/2025,17/02/2025,25000.0,GBP,Trainee Data Analyst - No Experience Required Are you looking to kick-start a new career as a Data Analyst? We are recruiting for companies who are looking to employ our Data Science Traineeship graduates to keep up with their growth. The best part is you will not need any previous experience as full training will be provided. You will also have the reassurance of a job guarantee ( 25K- 45K) within 20 miles of your location upon completion. Whet... ,United Kingdom
Newto Training,https://www.reed.co.uk/jobs/data-analyst-no-experience-needed/54615957,,57,659815,54615957,,Data Analyst - No experience needed,,21/04/2025,10/03/2025,,,"Are you ready to start a new career in Data Analysis? The demand for Data Analysts has grown by 20% annually, with experienced professionals earning salaries upwards of 58,000. In today’s digital world, data is critical to business decision-making, making the role of a Data Analyst indispensable. As skills shortages continue to grow, the demand for qualified entry-level professionals is on the rise. Your journey to a new career in Data Analysis ... ",United Kingdom
Newto Training,https://www.reed.co.uk/jobs/junior-data-scientist/54615992,,28,659815,54615992,,Junior Data Scientist,,21/04/2025,10/03/2025,,,"Are you ready to start a new career in Data Analysis? The demand for Data Analysts has grown by 20% annually, with experienced professionals earning salaries upwards of 58,000. In today’s digital world, data is critical to business decision-making, making the role of a Data Analyst indispensable. As skills shortages continue to grow, the demand for qualified entry-level professionals is on the rise. Your journey to a new career in Data Analysis ... ",United Kingdom
ITOL Recruitment,https://www.reed.co.uk/jobs/data-science-trainee/53569545,,13,582327,53569545,,Data Science Trainee,50000.0,21/04/2025,12/09/2024,30000.0,GBP,"Artificial Intelligence is used in every industry and as artificial intelligence requires data to operate there is now a massive growing demand for Data experts. If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future within Data Science. We use our specialised Data Science Career programme which looks to assist, train and place qualified c... ",BT15GS
Newto Training,https://www.reed.co.uk/jobs/data-scientist-no-experience-necessary/54615994,,29,659815,54615994,,Data Scientist No experience necessary,,21/04/2025,10/03/2025,,,"Are you ready to start a new career in Data Analysis? The demand for Data Analysts has grown by 20% annually, with experienced professionals earning salaries upwards of 58,000. In today’s digital world, data is critical to business decision-making, making the role of a Data Analyst indispensable. As skills shortages continue to grow, the demand for qualified entry-level professionals is on the rise. Your journey to a new career in Data Analysis ... ",United Kingdom
Newto Training,https://www.reed.co.uk/jobs/junior-data-engineer/54615990,,29,659815,54615990,,Junior Data Engineer,,21/04/2025,10/03/2025,,,"Are you ready to start a new career in Data Analysis? The demand for Data Analysts has grown by 20% annually, with experienced professionals earning salaries upwards of 58,000. In today’s digital world, data is critical to business decision-making, making the role of a Data Analyst indispensable. As skills shortages continue to grow, the demand for qualified entry-level professionals is on the rise. Your journey to a new career in Data Analysis ... ",United Kingdom
Newto Training,https://www.reed.co.uk/jobs/junior-data-admin/54615986,,58,659815,54615986,,Junior Data Admin,,21/04/2025,10/03/2025,,,"Are you ready to start a new career in Data Analysis? The demand for Data Analysts has grown by 20% annually, with experienced professionals earning salaries upwards of 58,000. In today’s digital world, data is critical to business decision-making, making the role of a Data Analyst indispensable. As skills shortages continue to grow, the demand for qualified entry-level professionals is on the rise. Your journey to a new career in Data Analysis ... ",United Kingdom
